,Unnamed: 0.1,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,price_per_m2,rooms,bus_stop,subway,park,school,police,hospital,Almagro,Barrio Norte,Belgrano,Caballito,Flores,Palermo,Recoleta,San Telmo,Villa Crespo,Villa Urquiza,_parrilla,_gimnasio,_sum,_pileta,_hidromasaje,_vigilancia,_playrooom,_cancha,_solarium,_al_frente,_nuevo?,_lavadero,_aire,_calefaccion,_luminoso,_garage,_balcon,_baulera,_terraza
296,4643,270000.0,160.0,145.0,1687.5,1862.0689655172407,5.0,9.0,0.0,2.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0
297,4657,90000.0,59.0,59.0,1525.4237288135596,1525.4237288135596,4.0,4.0,0.0,0.0,2.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
298,4659,143500.0,38.0,38.0,3776.315789473684,3776.315789473684,1.0,25.0,1.0,5.0,1.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0
299,4663,1400000.0,300.0,270.0,4666.666666666667,5185.185185185185,4.0,1.0,0.0,0.0,4.0,0.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0
300,4668,235000.0,89.0,81.0,2640.449438202247,2901.2345679012346,4.0,5.0,0.0,0.0,3.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
301,4680,168000.0,85.0,85.0,1976.470588235294,1976.470588235294,3.0,13.0,0.0,5.0,2.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0
302,4681,172960.0,75.0,65.0,2306.133333333333,2660.923076923077,3.0,11.0,0.0,1.0,4.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1
303,4705,298000.0,106.0,106.0,2811.3207547169814,2811.3207547169814,4.0,5.0,0.0,0.0,2.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
304,4707,127500.0,37.0,37.0,3445.945945945946,3445.945945945946,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
305,4708,127500.0,37.0,37.0,3445.945945945946,3445.945945945946,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
